[2026-04-08 04:58:14] Failed: 18 | Blacklist Hits: 0
[2026-04-08 04:59:54] Failed: 18 | Blacklist Hits: 2
[2026-04-08 05:02:03] Failed: 18 | Blacklist Hits: 2
[2026-04-08 06:13:44] Failed: 18 | Blacklist Hits: 2
[2026-04-08 06:57:46] Failed: 18 | Blacklist Hits: 2
[2026-04-08 07:20:06] Failed: 18 | Blacklist Hits: 2
[2026-04-08 14:24:16] Failed: 18 | Blacklist Hits: 2
[2026-04-08 14:33:07] Failed: 18 | Blacklist Hits: 2
[2026-04-08 14:49:43] FAILED: 18 | BLACKLIST_HITS: 0
[2026-04-08 14:52:44] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 14:54:50] Failed: 18 | Blacklist Hits: 2
[2026-04-08 14:55:01] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 14:55:22] Failed: 18 | Blacklist Hits: 2
[2026-04-08 15:00:12] Failed: 18 | Blacklist Hits: 2
[2026-04-08 15:00:16] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:01:46] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:01:50] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:01:52] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:01:56] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:02:06] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:02:18] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:02:22] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-08 15:30:56] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-20 11:43:15] FAILED: 0 | BLACKLIST_HITS: 0
[2026-04-20 11:43:32] FAILED: 0 | BLACKLIST_HITS: 0
[2026-04-20 11:43:36] FAILED: 0 | BLACKLIST_HITS: 0
[2026-04-20 11:50:00] FAILED:  | BLACKLIST_HITS: 0
[2026-04-20 11:50:14] FAILED: 0 | BLACKLIST_HITS: 0
[2026-04-20 12:09:08] FAILED: 18 | BLACKLIST_HITS: 2
[2026-04-20 12:16:05] FAILED: 18 | BLACKLIST_HITS: 2
